# spectral divergence vs libopus @ 64k, 120s cap, sources nik,dl8a,hein

# source nik @64k: ours 69.1 kbps, ref 69.2 kbps; corr o=0.9887 r=0.9864; err o=0.612 r=0.864 ratio=0.71
# drop-0 worst windows (47997 total): err o=0.612 r=0.864 ratio=0.708
# drop-1 worst windows (47997 total): err o=0.535 r=0.635 ratio=0.843
# drop-8 worst windows (47997 total): err o=0.490 r=0.510 ratio=0.959
# drop-479 worst windows (47997 total): err o=0.326 r=0.347 ratio=0.939
# dln = mean ln(E_test/E_src) per channel (neg = energy missing); err = mean |dln|; eb2 = band's mean share of the pre-squared frame error
# lo_hz	hi_hz	dlnL_o	dlnR_o	dlnL_r	dlnR_r	errL_o	errR_o	errL_r	errR_r	eb2_o	eb2_r
0	200	+0.010	+0.008	+0.014	+0.008	0.142	0.141	0.180	0.180	8.030e-4	9.335e-3
200	400	-0.001	+0.001	-0.003	+0.001	0.120	0.120	0.138	0.141	1.293e-4	2.324e-4
400	600	+0.002	+0.002	-0.001	-0.000	0.157	0.159	0.187	0.189	2.298e-4	5.668e-4
600	800	+0.001	+0.004	-0.001	+0.005	0.179	0.180	0.199	0.204	4.109e-4	8.240e-4
800	1000	+0.005	+0.004	+0.004	+0.005	0.195	0.196	0.215	0.215	7.291e-4	1.235e-3
1000	1200	+0.002	+0.001	+0.003	+0.005	0.198	0.196	0.227	0.226	1.007e-3	1.655e-3
1200	1400	+0.018	+0.020	+0.018	+0.014	0.267	0.268	0.283	0.285	1.855e-3	3.041e-3
1400	1600	+0.002	+0.009	+0.010	+0.009	0.251	0.254	0.275	0.274	1.949e-3	3.276e-3
1600	2000	+0.007	+0.005	+0.005	+0.008	0.195	0.196	0.216	0.215	1.661e-3	2.500e-3
2000	2400	+0.006	+0.005	-0.002	+0.004	0.205	0.204	0.225	0.228	1.918e-3	3.162e-3
2400	2800	-0.000	-0.003	+0.001	+0.002	0.208	0.206	0.227	0.228	2.639e-3	4.289e-3
2800	3200	+0.006	+0.010	+0.002	+0.010	0.218	0.218	0.235	0.235	3.951e-3	4.718e-3
3200	4000	+0.002	+0.001	+0.000	+0.002	0.144	0.144	0.156	0.156	1.883e-3	2.770e-3
4000	4800	+0.011	+0.004	+0.004	+0.001	0.161	0.158	0.171	0.170	1.951e-3	2.878e-3
4800	5600	+0.000	+0.007	+0.003	+0.012	0.231	0.232	0.237	0.238	8.042e-3	9.735e-3
5600	6800	+0.015	+0.011	+0.021	+0.015	0.220	0.221	0.230	0.232	9.795e-3	1.090e-2
6800	8000	+0.007	+0.009	+0.011	+0.011	0.200	0.200	0.203	0.204	1.138e-2	1.415e-2
8000	9600	+0.019	+0.016	+0.022	+0.018	0.192	0.192	0.192	0.193	1.642e-2	1.655e-2
9600	12000	-0.001	+0.002	-0.001	-0.000	0.178	0.177	0.172	0.173	2.952e-2	2.909e-2
12000	15600	+0.009	+0.010	+0.010	+0.011	0.194	0.193	0.189	0.189	3.930e-2	3.941e-2
15600	20000	+0.661	+0.658	+0.577	+0.574	0.662	0.659	0.578	0.575	6.748e-3	5.196e-3
# top-5 seconds by ours frame error (mean ef²) with encoder diag:
# sec	score	trans	cbb_min_hz	cbb_mean_hz	int_mean_hz	dual	intra	bits/fr
63	4.072e-2	0/50	18720	18720	8160	1/50	0/50	1385
62	1.658e-3	0/50	18720	18720	8160	0/50	0/50	1363
25	1.047e-3	1/50	18720	18720	8160	0/50	3/50	1412
41	5.610e-4	1/50	18720	18720	8160	0/50	2/50	1375
77	4.538e-4	0/50	18720	18720	8160	0/50	0/50	1368
# whole file: transient 200/6000 dual 101/6000 intra 326/6000; coded_bands min 14400 mean 14400 Hz; intensity mean 8160 Hz; bits/frame 1375
# top-8 metric windows by ours ef²: offset_ms ours ref | enc frame diag
+63040ms	1.623e1	1.524e-5	3152:trans0,intra0,sil0,cbb18720Hz,int8160Hz,bt192
+62715ms	5.010e-1	2.726e-5	3135:trans0,intra0,sil0,cbb18720Hz,int8160Hz,bt170
+25780ms	4.093e-1	4.780e-6	1289:trans0,intra0,sil0,cbb18720Hz,int8160Hz,bt177
+41892ms	2.218e-1	5.759e-3	2094:trans0,intra0,sil0,cbb18720Hz,int8160Hz,bt172
+77877ms	1.719e-1	7.399e-5	3893:trans0,intra0,sil0,cbb18720Hz,int8160Hz,bt167
+62717ms	1.477e-1	1.179e-5	3135:trans0,intra0,sil0,cbb18720Hz,int8160Hz,bt170
+38735ms	1.130e-1	2.254e-3	1936:trans0,intra0,sil0,cbb18720Hz,int8160Hz,bt159
+102675ms	6.830e-2	1.455e-9	5133:trans0,intra0,sil0,cbb18720Hz,int8160Hz,bt168
# first encoder frames: idx trans intra silence cbb_hz int_hz dual bytes
0	1	1	0	18720	8160	0	343
1	0	1	0	18720	8160	0	169
2	0	1	0	18720	8160	0	165
3	0	0	0	18720	8160	0	167
4	1	0	0	18720	8160	1	187
5	1	1	0	18720	8160	0	172
6	1	1	0	18720	8160	0	172
7	0	1	0	18720	8160	0	155
8	0	1	0	18720	8160	1	171
9	0	1	0	18720	8160	1	185
# windows 12..=20: win +ms band lo-hi | lnE src/ours/ref, ch L then R
w12 +30ms b0 0-240Hz	  +11.51   +11.51   +11.51 |   +11.51   +11.51   +11.51
w12 +30ms b1 240-480Hz	  +11.51   +11.51   +11.51 |   +11.51   +11.51   +11.51
w12 +30ms b2 480-720Hz	  +11.51   +11.51   +11.51 |   +11.51   +11.51   +11.51
w12 +30ms b3 720-960Hz	  +11.51   +11.51   +11.51 |   +11.51   +11.51   +11.51
w12 +30ms b4 960-1200Hz	  +11.51   +11.51   +11.51 |   +11.51   +11.51   +11.51
w12 +30ms b5 1200-1440Hz	  +11.51   +11.51   +11.51 |   +11.51   +11.51   +11.51
w12 +30ms b6 1440-1680Hz	  +11.51   +11.51   +11.51 |   +11.51   +11.51   +11.51
w12 +30ms b7 1680-1920Hz	  +11.51   +11.51   +11.51 |   +11.51   +11.51   +11.51
w12 +30ms b8 1920-2400Hz	  +11.51   +11.51   +11.51 |   +11.51   +11.51   +11.51
w12 +30ms b9 2400-2880Hz	  +11.51   +11.51   +11.51 |   +11.51   +11.51   +11.51
w12 +30ms b10 2880-3360Hz	  +11.51   +11.51   +11.51 |   +11.51   +11.51   +11.51
w12 +30ms b11 3360-3840Hz	  +11.51   +11.51   +11.51 |   +11.51   +11.51   +11.51
w12 +30ms b12 3840-4800Hz	  +11.51   +11.51   +11.51 |   +11.51   +11.51   +11.51
w12 +30ms b13 4800-5760Hz	  +11.51   +11.51   +11.51 |   +11.51   +11.51   +11.51
w12 +30ms b14 5760-6720Hz	  +11.51   +11.51   +11.51 |   +11.51   +11.51   +11.51
w12 +30ms b15 6720-8160Hz	  +11.51   +11.51   +11.51 |   +11.51   +11.51   +11.51
w12 +30ms b16 8160-9600Hz	  +11.51   +11.51   +11.51 |   +11.51   +11.51   +11.51
w12 +30ms b17 9600-11520Hz	  +11.51   +11.51   +11.51 |   +11.51   +11.51   +11.51
w12 +30ms b18 11520-14400Hz	  +11.51   +11.51   +11.51 |   +11.51   +11.51   +11.51
w12 +30ms b19 14400-18720Hz	  +11.51   +11.51   +11.51 |   +11.51   +11.51   +11.51
w12 +30ms b20 18720-24000Hz	  +11.51   +11.51   +11.51 |   +11.51   +11.51   +11.51
w13 +32ms b0 0-240Hz	  +11.51   +11.51   +11.51 |   +11.51   +11.51   +11.51
w13 +32ms b1 240-480Hz	  +11.51   +11.51   +11.51 |   +11.51   +11.51   +11.51
w13 +32ms b2 480-720Hz	  +11.51   +11.51   +11.51 |   +11.51   +11.51   +11.51
w13 +32ms b3 720-960Hz	  +11.51   +11.51   +11.51 |   +11.51   +11.51   +11.51
w13 +32ms b4 960-1200Hz	  +11.51   +11.51   +11.51 |   +11.51   +11.51   +11.51
w13 +32ms b5 1200-1440Hz	  +11.51   +11.51   +11.51 |   +11.51   +11.51   +11.51
w13 +32ms b6 1440-1680Hz	  +11.51   +11.51   +11.51 |   +11.51   +11.51   +11.51
w13 +32ms b7 1680-1920Hz	  +11.51   +11.51   +11.51 |   +11.51   +11.51   +11.51
w13 +32ms b8 1920-2400Hz	  +11.51   +11.51   +11.51 |   +11.51   +11.51   +11.51
w13 +32ms b9 2400-2880Hz	  +11.51   +11.51   +11.51 |   +11.51   +11.51   +11.51
w13 +32ms b10 2880-3360Hz	  +11.51   +11.51   +11.51 |   +11.51   +11.51   +11.51
w13 +32ms b11 3360-3840Hz	  +11.51   +11.51   +11.51 |   +11.51   +11.51   +11.51
w13 +32ms b12 3840-4800Hz	  +11.51   +11.51   +11.51 |   +11.51   +11.51   +11.51
w13 +32ms b13 4800-5760Hz	  +11.51   +11.51   +11.51 |   +11.51   +11.51   +11.51
w13 +32ms b14 5760-6720Hz	  +11.51   +11.51   +11.51 |   +11.51   +11.51   +11.51
w13 +32ms b15 6720-8160Hz	  +11.51   +11.51   +11.51 |   +11.51   +11.51   +11.51
w13 +32ms b16 8160-9600Hz	  +11.51   +11.51   +11.51 |   +11.51   +11.51   +11.51
w13 +32ms b17 9600-11520Hz	  +11.51   +11.51   +11.51 |   +11.51   +11.51   +11.51
w13 +32ms b18 11520-14400Hz	  +11.51   +11.51   +11.51 |   +11.51   +11.51   +11.51
w13 +32ms b19 14400-18720Hz	  +11.51   +11.51   +11.51 |   +11.51   +11.51   +11.51
w13 +32ms b20 18720-24000Hz	  +11.51   +11.51   +11.51 |   +11.51   +11.51   +11.51
w14 +35ms b0 0-240Hz	  +11.51   +11.51   +11.51 |   +11.51   +11.51   +11.51
w14 +35ms b1 240-480Hz	  +11.51   +11.51   +11.51 |   +11.51   +11.51   +11.51
w14 +35ms b2 480-720Hz	  +11.51   +11.51   +11.51 |   +11.51   +11.51   +11.51
w14 +35ms b3 720-960Hz	  +11.51   +11.51   +11.51 |   +11.51   +11.51   +11.51
w14 +35ms b4 960-1200Hz	  +11.51   +11.51   +11.51 |   +11.51   +11.51   +11.51
w14 +35ms b5 1200-1440Hz	  +11.51   +11.51   +11.51 |   +11.51   +11.51   +11.51
w14 +35ms b6 1440-1680Hz	  +11.51   +11.51   +11.51 |   +11.51   +11.51   +11.51
w14 +35ms b7 1680-1920Hz	  +11.51   +11.51   +11.51 |   +11.51   +11.51   +11.51
