# ec-opus encoder vs ffmpeg libopus — encoders-only gate (r1)
# both bitstreams decoded by ec-opus; 120s cap; VBR; 48kHz stereo
# source	kbps	ours_kbps	ref_kbps	rate%	corr_ours	corr_ref	gap	Q_ours	Q_ref	err_ratio	minsec_ours	minsec_ref	drop_ours	drop_ref
nik	64	69.0	69.2	-0.3	0.9887	0.9864	-0.0023	-87.41	-154.78	0.672	0.9772	0.9745	0	0
nik	96	100.8	101.0	-0.2	0.9947	0.9940	-0.0007	-38.39	-31.55	1.061	0.9891	0.9888	0	0
zaur	64	63.3	63.6	-0.4	0.9892	0.9866	-0.0026	-202.87	-123.36	1.510	0.9678	0.9686	0	0
zaur	96	92.8	93.9	-1.1	0.9945	0.9937	-0.0008	-152.87	-125.18	1.165	0.9845	0.9854	0	0
her	64	67.4	67.9	-0.7	0.9833	0.9794	-0.0039	-366.15	-339.00	1.104	0.9477	0.9406	0	0
her	96	100.3	101.5	-1.2	0.9912	0.9902	-0.0010	-203.77	-191.50	1.060	0.9729	0.9728	0	0
naz	64	71.3	71.3	-0.0	0.9908	0.9880	-0.0028	-351.70	-128.39	2.697	0.9716	0.9644	0	0
naz	96	105.3	105.4	-0.0	0.9956	0.9948	-0.0008	-301.83	-29.16	4.499	0.9850	0.9804	0	0
dl8a	64	65.6	65.8	-0.3	0.9888	0.9865	-0.0024	-223.26	-378.84	0.541	0.9796	0.9723	0	0
dl8a	96	96.5	96.8	-0.4	0.9942	0.9934	-0.0008	-198.74	-423.47	0.414	0.9882	0.9864	0	0
hein	64	64.6	64.9	-0.4	0.9887	0.9874	-0.0014	-129.55	-388.31	0.327	0.9287	0.9148	0	0
hein	96	86.7	86.9	-0.2	0.9946	0.9930	-0.0016	-84.08	-246.46	0.426	0.9680	0.9499	0	0
