# lane-opustr2 r2: k=2.0 off=.04 (libopus x2)
# ec-opus encoder vs ffmpeg libopus — encoders-only gate (r1)
# both bitstreams decoded by ec-opus; 120s cap; VBR; 48kHz stereo
# source	kbps	ours_kbps	ref_kbps	rate%	corr_ours	corr_ref	gap	Q_ours	Q_ref	err_ratio	minsec_ours	minsec_ref	drop_ours	drop_ref
nik	64	69.0	69.2	-0.2	0.9886	0.9864	-0.0023	-90.37	-154.78	0.686	0.9774	0.9745	0	0
nik	96	100.6	101.0	-0.4	0.9946	0.9940	-0.0006	-14.17	-31.55	0.849	0.9890	0.9888	0	0
zaur	64	63.4	63.6	-0.3	0.9891	0.9866	-0.0025	-202.81	-123.36	1.510	0.9681	0.9686	0	0
zaur	96	93.1	93.9	-0.9	0.9944	0.9937	-0.0007	-101.43	-125.18	0.867	0.9853	0.9854	0	0
her	64	67.3	67.9	-0.9	0.9830	0.9794	-0.0035	-365.61	-339.00	1.102	0.9463	0.9406	0	0
her	96	100.6	101.5	-0.9	0.9911	0.9902	-0.0008	-206.21	-191.50	1.072	0.9714	0.9728	0	0
naz	64	71.3	71.3	-0.0	0.9908	0.9880	-0.0028	-244.05	-128.39	1.764	0.9713	0.9644	0	0
naz	96	105.3	105.4	-0.1	0.9955	0.9948	-0.0008	-137.01	-29.16	2.114	0.9852	0.9804	0	0
dl8a	64	65.4	65.8	-0.6	0.9885	0.9865	-0.0021	-223.36	-378.84	0.542	0.9778	0.9723	0	0
dl8a	96	96.1	96.8	-0.8	0.9939	0.9934	-0.0005	-152.75	-423.47	0.329	0.9863	0.9864	0	0
hein	64	64.3	64.9	-1.0	0.9864	0.9874	+0.0010	-271.82	-388.31	0.644	0.9143	0.9148	0	0
hein	96	86.1	86.9	-1.0	0.9930	0.9930	+0.0000	-138.87	-246.46	0.595	0.9592	0.9499	0	0
