# lane-opustr2 r4: k=2.0 off=.04 gate=transient
# ec-opus encoder vs ffmpeg libopus — encoders-only gate (r1)
# both bitstreams decoded by ec-opus; 120s cap; VBR; 48kHz stereo
# source	kbps	ours_kbps	ref_kbps	rate%	corr_ours	corr_ref	gap	Q_ours	Q_ref	err_ratio	minsec_ours	minsec_ref	drop_ours	drop_ref
nik	64	69.0	69.2	-0.2	0.9886	0.9864	-0.0023	-84.50	-154.78	0.659	0.9775	0.9745	0	0
nik	96	100.8	101.0	-0.2	0.9947	0.9940	-0.0006	-20.66	-31.55	0.904	0.9891	0.9888	0	0
zaur	64	63.4	63.6	-0.3	0.9892	0.9866	-0.0025	-202.85	-123.36	1.510	0.9682	0.9686	0	0
zaur	96	93.0	93.9	-0.9	0.9945	0.9937	-0.0007	-131.23	-125.18	1.035	0.9856	0.9854	0	0
her	64	67.4	67.9	-0.8	0.9831	0.9794	-0.0036	-366.13	-339.00	1.104	0.9464	0.9406	0	0
her	96	100.6	101.5	-0.9	0.9911	0.9902	-0.0009	-206.27	-191.50	1.072	0.9715	0.9728	0	0
naz	64	71.3	71.3	-0.0	0.9908	0.9880	-0.0028	-244.05	-128.39	1.764	0.9710	0.9644	0	0
naz	96	105.3	105.4	-0.1	0.9956	0.9948	-0.0008	-137.01	-29.16	2.114	0.9854	0.9804	0	0
dl8a	64	65.5	65.8	-0.5	0.9886	0.9865	-0.0021	-223.06	-378.84	0.541	0.9782	0.9723	0	0
dl8a	96	96.2	96.8	-0.7	0.9940	0.9934	-0.0006	-198.37	-423.47	0.414	0.9869	0.9864	0	0
hein	64	64.3	64.9	-0.9	0.9867	0.9874	+0.0006	-195.48	-388.31	0.461	0.9195	0.9148	0	0
hein	96	86.1	86.9	-0.9	0.9932	0.9930	-0.0002	-93.89	-246.46	0.455	0.9611	0.9499	0	0
