# lane-opustr2 r6: k=1.5 off=.08
# ec-opus encoder vs ffmpeg libopus — encoders-only gate (r1)
# both bitstreams decoded by ec-opus; 120s cap; VBR; 48kHz stereo
# source	kbps	ours_kbps	ref_kbps	rate%	corr_ours	corr_ref	gap	Q_ours	Q_ref	err_ratio	minsec_ours	minsec_ref	drop_ours	drop_ref
nik	64	69.1	69.2	-0.2	0.9887	0.9864	-0.0023	-76.74	-154.78	0.625	0.9774	0.9745	0	0
nik	96	100.8	101.0	-0.2	0.9947	0.9940	-0.0006	-11.26	-31.55	0.824	0.9890	0.9888	0	0
zaur	64	63.4	63.6	-0.2	0.9892	0.9866	-0.0026	-202.85	-123.36	1.510	0.9688	0.9686	0	0
zaur	96	93.2	93.9	-0.7	0.9945	0.9937	-0.0008	-130.58	-125.18	1.031	0.9858	0.9854	0	0
her	64	67.4	67.9	-0.7	0.9832	0.9794	-0.0037	-366.40	-339.00	1.105	0.9468	0.9406	0	0
her	96	100.6	101.5	-0.8	0.9912	0.9902	-0.0009	-205.97	-191.50	1.071	0.9719	0.9728	0	0
naz	64	71.3	71.3	-0.0	0.9908	0.9880	-0.0028	-240.03	-128.39	1.733	0.9716	0.9644	0	0
naz	96	105.3	105.4	-0.1	0.9956	0.9948	-0.0008	-167.01	-29.16	2.480	0.9853	0.9804	0	0
dl8a	64	65.5	65.8	-0.5	0.9887	0.9865	-0.0022	-221.67	-378.84	0.538	0.9786	0.9723	0	0
dl8a	96	96.3	96.8	-0.5	0.9941	0.9934	-0.0007	-136.20	-423.47	0.301	0.9870	0.9864	0	0
hein	64	64.6	64.9	-0.5	0.9876	0.9874	-0.0002	-123.26	-388.31	0.316	0.9226	0.9148	0	0
hein	96	86.5	86.9	-0.5	0.9938	0.9930	-0.0007	-103.65	-246.46	0.484	0.9636	0.9499	0	0
