# lane-opustr2 r9: k=2.0 off=.04 thresh tfe>=0.6
# ec-opus encoder vs ffmpeg libopus — encoders-only gate (r1)
# both bitstreams decoded by ec-opus; 120s cap; VBR; 48kHz stereo
# source	kbps	ours_kbps	ref_kbps	rate%	corr_ours	corr_ref	gap	Q_ours	Q_ref	err_ratio	minsec_ours	minsec_ref	drop_ours	drop_ref
nik	64	69.1	69.2	-0.1	0.9887	0.9864	-0.0023	-99.01	-154.78	0.725	0.9770	0.9745	0	0
nik	96	100.8	101.0	-0.2	0.9947	0.9940	-0.0006	-34.57	-31.55	1.027	0.9887	0.9888	0	0
zaur	64	63.5	63.6	-0.2	0.9893	0.9866	-0.0026	-202.81	-123.36	1.510	0.9697	0.9686	0	0
zaur	96	93.2	93.9	-0.7	0.9946	0.9937	-0.0008	-112.97	-125.18	0.931	0.9858	0.9854	0	0
her	64	67.5	67.9	-0.7	0.9832	0.9794	-0.0038	-367.01	-339.00	1.108	0.9471	0.9406	0	0
her	96	100.7	101.5	-0.8	0.9912	0.9902	-0.0010	-206.14	-191.50	1.071	0.9721	0.9728	0	0
naz	64	71.3	71.3	-0.0	0.9908	0.9880	-0.0028	-244.05	-128.39	1.764	0.9714	0.9644	0	0
naz	96	105.3	105.4	-0.1	0.9956	0.9948	-0.0008	-137.01	-29.16	2.114	0.9854	0.9804	0	0
dl8a	64	65.6	65.8	-0.2	0.9888	0.9865	-0.0023	-226.92	-378.84	0.550	0.9795	0.9723	0	0
dl8a	96	96.4	96.8	-0.4	0.9941	0.9934	-0.0007	-175.88	-423.47	0.371	0.9876	0.9864	0	0
hein	64	64.6	64.9	-0.5	0.9875	0.9874	-0.0002	-350.42	-388.31	0.873	0.9219	0.9148	0	0
hein	96	86.5	86.9	-0.5	0.9937	0.9930	-0.0007	-141.11	-246.46	0.603	0.9634	0.9499	0	0
