# lane-opusx2 r1: CELT input delayed by Fs/250 + libopus dc_reject (3 Hz) on the API input
# baseline lanes/opus-opustr2-r1.sweep.txt (shipped); delay-only arm = lanes/opus-opusx-r1.sweep.txt
# ec-opus encoder vs ffmpeg libopus — encoders-only gate (r1)
# both bitstreams decoded by ec-opus; 120s cap; VBR; 48kHz stereo
# source	kbps	ours_kbps	ref_kbps	rate%	corr_ours	corr_ref	gap	Q_ours	Q_ref	err_ratio	minsec_ours	minsec_ref	drop_ours	drop_ref
nik	64	69.1	69.2	-0.1	0.9883	0.9864	-0.0020	-116.02	-154.78	0.805	0.9766	0.9745	0	0
nik	96	100.9	101.0	-0.1	0.9944	0.9940	-0.0003	-111.04	-31.55	1.780	0.9888	0.9888	0	0
zaur	64	63.6	63.6	-0.0	0.9887	0.9866	-0.0021	-172.14	-123.36	1.301	0.9708	0.9686	0	0
zaur	96	93.4	93.9	-0.5	0.9943	0.9937	-0.0006	-101.22	-125.18	0.866	0.9875	0.9854	0	0
her	64	67.6	67.9	-0.4	0.9828	0.9794	-0.0033	-333.52	-339.00	0.980	0.9474	0.9406	0	0
her	96	101.0	101.5	-0.5	0.9916	0.9902	-0.0014	-248.38	-191.50	1.293	0.9770	0.9728	0	0
naz	64	71.3	71.3	-0.0	0.9904	0.9880	-0.0024	-264.15	-128.39	1.920	0.9714	0.9644	0	0
naz	96	105.3	105.4	-0.0	0.9952	0.9948	-0.0004	-271.16	-29.16	3.980	0.9853	0.9804	0	0
dl8a	64	65.7	65.8	-0.1	0.9885	0.9865	-0.0020	-399.15	-378.84	1.074	0.9787	0.9723	0	0
dl8a	96	96.6	96.8	-0.3	0.9938	0.9934	-0.0004	-426.78	-423.47	1.011	0.9876	0.9864	0	0
hein	64	64.8	64.9	-0.2	0.9887	0.9874	-0.0013	-383.53	-388.31	0.983	0.9345	0.9148	0	0
hein	96	86.8	86.9	-0.2	0.9944	0.9930	-0.0014	-351.66	-246.46	1.513	0.9701	0.9499	0	0
