# lane-opusx2 r2: EC_OPUS_TWO_PASS=1 (libopus two-pass coarse energy) (on the aligned tree: Fs/250 delay + dc_reject)
# ec-opus encoder vs ffmpeg libopus — encoders-only gate (r1)
# both bitstreams decoded by ec-opus; 120s cap; VBR; 48kHz stereo
# source	kbps	ours_kbps	ref_kbps	rate%	corr_ours	corr_ref	gap	Q_ours	Q_ref	err_ratio	minsec_ours	minsec_ref	drop_ours	drop_ref
nik	64	69.1	69.2	-0.1	0.9884	0.9864	-0.0020	-114.86	-154.78	0.799	0.9767	0.9745	0	0
nik	96	100.9	101.0	-0.1	0.9944	0.9940	-0.0003	-113.73	-31.55	1.809	0.9889	0.9888	0	0
zaur	64	63.6	63.6	-0.0	0.9888	0.9866	-0.0021	-168.90	-123.36	1.280	0.9708	0.9686	0	0
zaur	96	93.4	93.9	-0.5	0.9943	0.9937	-0.0006	-98.26	-125.18	0.850	0.9874	0.9854	0	0
her	64	67.7	67.9	-0.4	0.9828	0.9794	-0.0034	-342.89	-339.00	1.015	0.9477	0.9406	0	0
her	96	101.0	101.5	-0.5	0.9916	0.9902	-0.0014	-245.44	-191.50	1.277	0.9773	0.9728	0	0
naz	64	71.3	71.3	-0.0	0.9904	0.9880	-0.0024	-270.85	-128.39	1.974	0.9715	0.9644	0	0
naz	96	105.3	105.4	-0.0	0.9952	0.9948	-0.0004	-271.17	-29.16	3.980	0.9853	0.9804	0	0
dl8a	64	65.7	65.8	-0.1	0.9885	0.9865	-0.0020	-431.62	-378.84	1.200	0.9784	0.9723	0	0
dl8a	96	96.6	96.8	-0.3	0.9938	0.9934	-0.0004	-429.71	-423.47	1.021	0.9877	0.9864	0	0
hein	64	64.8	64.9	-0.1	0.9889	0.9874	-0.0016	-398.79	-388.31	1.037	0.9355	0.9148	0	0
hein	96	86.8	86.9	-0.2	0.9945	0.9930	-0.0015	-348.20	-246.46	1.494	0.9705	0.9499	0	0
