# lane-opusx2 r3: EC_OPUS_TRIM13=1 (continuous 1.3 alloc_trim) (on the aligned tree: Fs/250 delay + dc_reject)
# ec-opus encoder vs ffmpeg libopus — encoders-only gate (r1)
# both bitstreams decoded by ec-opus; 120s cap; VBR; 48kHz stereo
# source	kbps	ours_kbps	ref_kbps	rate%	corr_ours	corr_ref	gap	Q_ours	Q_ref	err_ratio	minsec_ours	minsec_ref	drop_ours	drop_ref
nik	64	69.1	69.2	-0.1	0.9875	0.9864	-0.0011	-117.01	-154.78	0.810	0.9760	0.9745	0	0
nik	96	100.9	101.0	-0.1	0.9938	0.9940	+0.0003	-128.36	-31.55	1.971	0.9880	0.9888	0	0
zaur	64	63.6	63.6	-0.0	0.9883	0.9866	-0.0017	-157.11	-123.36	1.204	0.9707	0.9686	0	0
zaur	96	93.4	93.9	-0.5	0.9940	0.9937	-0.0002	-74.67	-125.18	0.726	0.9866	0.9854	0	0
her	64	67.6	67.9	-0.4	0.9820	0.9794	-0.0026	-334.21	-339.00	0.982	0.9455	0.9406	0	0
her	96	101.0	101.5	-0.5	0.9911	0.9902	-0.0008	-251.84	-191.50	1.312	0.9757	0.9728	0	0
naz	64	71.3	71.3	-0.0	0.9896	0.9880	-0.0016	-268.76	-128.39	1.957	0.9704	0.9644	0	0
naz	96	105.3	105.4	-0.0	0.9947	0.9948	+0.0001	-265.83	-29.16	3.893	0.9845	0.9804	0	0
dl8a	64	65.7	65.8	-0.1	0.9874	0.9865	-0.0009	-387.57	-378.84	1.031	0.9762	0.9723	0	0
dl8a	96	96.6	96.8	-0.3	0.9931	0.9934	+0.0003	-413.74	-423.47	0.967	0.9858	0.9864	0	0
hein	64	64.8	64.9	-0.2	0.9886	0.9874	-0.0012	-383.53	-388.31	0.983	0.9345	0.9148	0	0
hein	96	86.8	86.9	-0.2	0.9944	0.9930	-0.0014	-351.67	-246.46	1.513	0.9699	0.9499	0	0
