# lane-opusx2 r4: EC_OPUS_TF_K=1.25 (CVBR tf boost) (on the aligned tree: Fs/250 delay + dc_reject)
# ec-opus encoder vs ffmpeg libopus — encoders-only gate (r1)
# both bitstreams decoded by ec-opus; 120s cap; VBR; 48kHz stereo
# source	kbps	ours_kbps	ref_kbps	rate%	corr_ours	corr_ref	gap	Q_ours	Q_ref	err_ratio	minsec_ours	minsec_ref	drop_ours	drop_ref
nik	64	69.1	69.2	-0.1	0.9883	0.9864	-0.0020	-110.52	-154.78	0.779	0.9765	0.9745	0	0
nik	96	100.9	101.0	-0.1	0.9943	0.9940	-0.0003	-111.87	-31.55	1.789	0.9888	0.9888	0	0
zaur	64	63.5	63.6	-0.1	0.9887	0.9866	-0.0020	-180.92	-123.36	1.359	0.9704	0.9686	0	0
zaur	96	93.3	93.9	-0.6	0.9942	0.9937	-0.0005	-90.05	-125.18	0.806	0.9870	0.9854	0	0
her	64	67.5	67.9	-0.6	0.9826	0.9794	-0.0032	-311.93	-339.00	0.903	0.9471	0.9406	0	0
her	96	100.7	101.5	-0.7	0.9914	0.9902	-0.0012	-230.30	-191.50	1.195	0.9765	0.9728	0	0
naz	64	71.3	71.3	-0.0	0.9904	0.9880	-0.0024	-269.89	-128.39	1.966	0.9712	0.9644	0	0
naz	96	105.3	105.4	-0.0	0.9952	0.9948	-0.0004	-263.44	-29.16	3.855	0.9852	0.9804	0	0
dl8a	64	65.6	65.8	-0.2	0.9884	0.9865	-0.0020	-424.09	-378.84	1.170	0.9791	0.9723	0	0
dl8a	96	96.4	96.8	-0.4	0.9937	0.9934	-0.0003	-434.84	-423.47	1.039	0.9872	0.9864	0	0
hein	64	64.7	64.9	-0.3	0.9882	0.9874	-0.0008	-376.99	-388.31	0.961	0.9314	0.9148	0	0
hein	96	86.7	86.9	-0.3	0.9941	0.9930	-0.0011	-363.54	-246.46	1.580	0.9677	0.9499	0	0
