# lane-opusx2 r7: aligned tree + two-pass coarse energy + tf boost k=1.25 (combined winners)
# ec-opus encoder vs ffmpeg libopus — encoders-only gate (r1)
# both bitstreams decoded by ec-opus; 120s cap; VBR; 48kHz stereo
# source	kbps	ours_kbps	ref_kbps	rate%	corr_ours	corr_ref	gap	Q_ours	Q_ref	err_ratio	minsec_ours	minsec_ref	drop_ours	drop_ref
nik	64	69.1	69.2	-0.1	0.9883	0.9864	-0.0020	-109.28	-154.78	0.773	0.9766	0.9745	0	0
nik	96	100.9	101.0	-0.1	0.9943	0.9940	-0.0003	-113.00	-31.55	1.801	0.9889	0.9888	0	0
zaur	64	63.5	63.6	-0.1	0.9887	0.9866	-0.0020	-177.31	-123.36	1.335	0.9701	0.9686	0	0
zaur	96	93.3	93.9	-0.6	0.9943	0.9937	-0.0005	-89.23	-125.18	0.801	0.9870	0.9854	0	0
her	64	67.6	67.9	-0.5	0.9827	0.9794	-0.0033	-309.55	-339.00	0.894	0.9475	0.9406	0	0
her	96	100.7	101.5	-0.7	0.9915	0.9902	-0.0012	-214.59	-191.50	1.114	0.9768	0.9728	0	0
naz	64	71.3	71.3	-0.0	0.9904	0.9880	-0.0024	-271.04	-128.39	1.975	0.9712	0.9644	0	0
naz	96	105.3	105.4	-0.0	0.9952	0.9948	-0.0004	-262.90	-29.16	3.846	0.9852	0.9804	0	0
dl8a	64	65.7	65.8	-0.2	0.9885	0.9865	-0.0020	-426.86	-378.84	1.181	0.9789	0.9723	0	0
dl8a	96	96.4	96.8	-0.4	0.9937	0.9934	-0.0003	-427.68	-423.47	1.014	0.9871	0.9864	0	0
hein	64	64.7	64.9	-0.3	0.9884	0.9874	-0.0010	-381.78	-388.31	0.977	0.9320	0.9148	0	0
hein	96	86.7	86.9	-0.3	0.9942	0.9930	-0.0012	-330.35	-246.46	1.398	0.9681	0.9499	0	0
