# sadie@12k SILK oracle: ours vs ffmpeg-libopus indices (r1)
# mono, 120s, 20ms frames, VBR constrained, 48kHz, Application::Voip
# ours_frames=6000 ref_frames=6001
# sig: 0=unvoiced 2=voiced | per: LTP codebook | nlsf_i: 4=nointerp
# gains/ltp are 4 subframe indices; lag/contour only for voiced

=== second 3 (frames 150–199) ===
frame  side sig qoff gains[4]        nlsf_i lag  cont per ltp[4]         ltpscl seed bytes
  150  O    2   0  [33, 4, 7, 4]   4      40    2   2   [18,31,18,18]   0     0   33
  150  R    2   0  [27, 4, 4, 5]   2      45    7   2   [20,2,2,11]   0     2   30
  151  O    2   0  [42, 3, 3, 5]   4      39    1   0   [3,7,3,7]   0     0   29
  151  R    2   0  [29, 6, 5, 5]   4      43    9   2   [21,4,17,8]   0     3   32
  152  O    2   0  [47, 3, 4, 5]   4      39    3   2   [25,7,18,31]   0     0   21
  152  R    2   0  [33, 5, 4, 5]   3      42    0   2   [8,4,16,12]   0     3   33
  153  O    2   0  [47, 0, 4, 5]   4      40   13   2   [7,25,19,27]   0     0   27
  153  R    2   0  [35, 4, 4, 5]   2      42    0   2   [12,5,2,21]   0     2   28
  154  O    2   0  [47, 0, 0, 1]   4      40    1   2   [25,31,0,3]   0     0   36
  154  R    2   0  [36, 4, 4, 4]   4      41    1   2   [8,3,16,1]   0     3   28
  155  O    2   0  [41, 4, 2, 1]   4      40    4   2   [31,31,7,0]   0     0   36
  155  R    2   0  [36, 6, 3, 1]   4      42    1   1   [11,6,9,9]   0     0   32
  156  O    2   0  [40, 3, 4, 3]   4      39    1   1   [3,15,15,15]   0     0   28
  156  R    2   0  [32, 4, 3, 4]   3      43    6   2   [16,12,24,13]   0     0   31
  157  O    2   0  [39, 2, 4, 4]   4      39    1   2   [7,7,7,27]   0     0   33
  157  R    2   0  [31, 3, 3, 4]   4      44    1   2   [14,0,10,1]   0     2   21
  158  O    2   0  [37, 2, 1, 4]   4      42    1   1   [9,10,15,0]   0     0   27
  158  R    2   0  [28, 4, 3, 3]   2      46    6   1   [6,14,13,12]   0     2   28
  159  O    2   0  [32, 2,15, 4]   4      48    7   0   [3,7,1,1]   0     0   25
  159  R    2   0  [26, 3, 6,12]   1      50    8   0   [4,3,2,0]   0     0   33
  160  O    2   0  [44, 1, 3, 6]   4      42    1   2   [7,0,31,7]   0     0   32
  160  R    2   0  [39, 4, 3, 3]   4      45    1   2   [7,7,0,2]   0     0   32
  161  O    2   0  [40, 3, 2, 4]   4      44    1   1   [15,15,2,15]   0     0   37
  161  R    2   0  [36, 4, 4, 4]   4      46    0   2   [0,14,0,18]   0     3   28
  162  O    2   0  [40, 2, 2, 4]   4      46    1   2   [3,25,31,31]   0     0   22
