    Finished `release` profile [optimized] target(s) in 0.01s
     Running unittests src/lib.rs (/home/tahinli/.cache/cargo-target-av1txdepth/release/deps/ec_av1-8fef0196ab10338d)

running 1 test

## film 1080p (6 frames at 640x384, q=100): screen frames 0, pricer armings default=5 real=20
| set | nz | blocks | priced bits | written bits | error |
|---|---|---|---|---|---|
| Chroma16 | 0 | 2248 | 559 | 391 | +43.0% |
| Chroma16 | 1 | 124 | 788 | 778 | +1.2% |
| Chroma16 | 2 | 57 | 1226 | 1186 | +3.4% |
| Chroma16 | 3-4 | 30 | 995 | 996 | -0.1% |
| Chroma16 | 5-8 | 25 | 1053 | 1001 | +5.2% |
| Chroma16 | 9-16 | 32 | 2796 | 2904 | -3.7% |
| Chroma16 | 17+ | 142 | 47184 | 46568 | +1.3% |
| Chroma4 | 0 | 994 | 960 | 1003 | -4.2% |
| Chroma4 | 1 | 295 | 2285 | 2274 | +0.5% |
| Chroma4 | 2 | 182 | 2283 | 2290 | -0.3% |
| Chroma4 | 3-4 | 242 | 4504 | 4508 | -0.1% |
| Chroma4 | 5-8 | 244 | 6811 | 6813 | -0.0% |
| Chroma4 | 9-16 | 247 | 11448 | 11285 | +1.4% |
| Chroma8 | 0 | 1950 | 1022 | 1323 | -22.7% |
| Chroma8 | 1 | 374 | 2596 | 2739 | -5.2% |
| Chroma8 | 2 | 133 | 2167 | 2158 | +0.4% |
| Chroma8 | 3-4 | 186 | 4505 | 4516 | -0.2% |
| Chroma8 | 5-8 | 203 | 8736 | 8253 | +5.8% |
| Chroma8 | 9-16 | 272 | 18829 | 17692 | +6.4% |
| Chroma8 | 17+ | 430 | 52713 | 49316 | +6.9% |
| Luma16 | 0 | 49 | 269 | 159 | +69.4% |
| Luma16 | 1 | 70 | 511 | 415 | +23.2% |
| Luma16 | 2 | 3 | 80 | 81 | -0.7% |
| Luma16 | 3-4 | 6 | 147 | 167 | -11.9% |
| Luma16 | 5-8 | 24 | 1075 | 1091 | -1.5% |
| Luma16 | 9-16 | 27 | 2305 | 2111 | +9.2% |
| Luma16 | 17+ | 109 | 30092 | 29405 | +2.3% |
| Luma16Inter | 0 | 335 | 306 | 235 | +30.1% |
| Luma16Inter | 1 | 55 | 591 | 532 | +11.0% |
| Luma16Inter | 2 | 52 | 946 | 933 | +1.4% |
| Luma16Inter | 3-4 | 86 | 2383 | 2394 | -0.4% |
| Luma16Inter | 5-8 | 74 | 3640 | 3596 | +1.2% |
| Luma16Inter | 9-16 | 100 | 8431 | 8416 | +0.2% |
| Luma16Inter | 17+ | 78 | 19629 | 19755 | -0.6% |
| Luma32 | 0 | 531 | 475 | 251 | +89.1% |
| Luma32 | 1 | 48 | 364 | 258 | +41.2% |
| Luma32 | 17+ | 30 | 21950 | 21823 | +0.6% |
| Luma32Inter | 0 | 23 | 47 | 21 | +123.6% |
| Luma32Inter | 1 | 87 | 626 | 616 | +1.6% |
| Luma32Inter | 2 | 15 | 267 | 271 | -1.6% |
| Luma32Inter | 3-4 | 7 | 168 | 165 | +1.8% |
| Luma32Inter | 5-8 | 2 | 162 | 162 | -0.1% |
| Luma32Inter | 17+ | 49 | 17381 | 17388 | -0.0% |
| Luma4 | 0 | 2216 | 1174 | 792 | +48.2% |
| Luma4 | 1 | 175 | 1703 | 1411 | +20.7% |
| Luma4 | 2 | 67 | 884 | 913 | -3.2% |
| Luma4 | 3-4 | 99 | 2041 | 2024 | +0.9% |
| Luma4 | 5-8 | 313 | 10703 | 10304 | +3.9% |
| Luma4 | 9-16 | 294 | 13729 | 13161 | +4.3% |
| Luma8 | 0 | 10429 | 2158 | 767 | +181.3% |
| Luma8 | 1 | 61 | 528 | 532 | -0.8% |
| Luma8 | 2 | 13 | 198 | 208 | -4.9% |
| Luma8 | 3-4 | 3 | 56 | 59 | -4.7% |
| Luma8 | 5-8 | 19 | 607 | 622 | -2.5% |
| Luma8 | 9-16 | 27 | 1814 | 1790 | +1.3% |
| Luma8 | 17+ | 66 | 7709 | 7671 | +0.5% |
| Luma8Inter | 0 | 254 | 339 | 292 | +15.9% |
| Luma8Inter | 1 | 76 | 773 | 778 | -0.7% |
| Luma8Inter | 2 | 80 | 1283 | 1335 | -3.9% |
| Luma8Inter | 3-4 | 110 | 2601 | 2644 | -1.6% |
| Luma8Inter | 5-8 | 110 | 4072 | 4136 | -1.5% |
| Luma8Inter | 9-16 | 186 | 10713 | 10787 | -0.7% |
| Luma8Inter | 17+ | 293 | 29202 | 29071 | +0.4% |
| ALL | | 25161 | 377589 | 367536 | +2.7% |

## screen (6 frames at 640x384, q=100): screen frames 6, pricer armings default=21 real=0
| set | nz | blocks | priced bits | written bits | error |
|---|---|---|---|---|---|
| Chroma16 | 0 | 1463 | 616 | 714 | -13.7% |
| Chroma16 | 1 | 280 | 2920 | 2343 | +24.6% |
| Chroma16 | 2 | 97 | 1910 | 1618 | +18.0% |
| Chroma16 | 3-4 | 62 | 1523 | 1422 | +7.1% |
| Chroma16 | 5-8 | 42 | 1606 | 1496 | +7.4% |
| Chroma16 | 9-16 | 36 | 2094 | 1955 | +7.1% |
| Chroma16 | 17+ | 4 | 325 | 316 | +2.7% |
| Chroma4 | 0 | 233 | 94 | 69 | +36.9% |
| Chroma4 | 1 | 19 | 131 | 135 | -2.8% |
| Chroma4 | 2 | 10 | 117 | 118 | -1.2% |
| Chroma4 | 3-4 | 18 | 321 | 330 | -2.6% |
| Chroma4 | 5-8 | 7 | 216 | 215 | +0.7% |
| Chroma4 | 9-16 | 5 | 183 | 185 | -0.9% |
| Chroma8 | 0 | 1579 | 664 | 582 | +14.0% |
| Chroma8 | 1 | 222 | 1463 | 1430 | +2.3% |
| Chroma8 | 2 | 46 | 652 | 626 | +4.1% |
| Chroma8 | 3-4 | 74 | 1507 | 1402 | +7.5% |
| Chroma8 | 5-8 | 68 | 2314 | 2268 | +2.0% |
| Chroma8 | 9-16 | 27 | 1359 | 1370 | -0.8% |
| Chroma8 | 17+ | 2 | 147 | 146 | +0.4% |
| Luma16 | 0 | 76 | 478 | 220 | +117.1% |
| Luma16 | 1 | 47 | 572 | 480 | +19.1% |
| Luma16 | 2 | 20 | 445 | 398 | +11.7% |
| Luma16 | 3-4 | 58 | 1774 | 1550 | +14.4% |
| Luma16 | 5-8 | 98 | 4270 | 3933 | +8.6% |
| Luma16 | 9-16 | 60 | 4050 | 3870 | +4.6% |
| Luma16 | 17+ | 22 | 3150 | 3172 | -0.7% |
| Luma16Inter | 0 | 921 | 819 | 329 | +149.0% |
| Luma16Inter | 1 | 162 | 2116 | 1607 | +31.7% |
| Luma16Inter | 2 | 43 | 1028 | 857 | +20.0% |
| Luma16Inter | 3-4 | 14 | 443 | 415 | +6.6% |
| Luma16Inter | 5-8 | 3 | 148 | 139 | +6.7% |
| Luma16Inter | 9-16 | 3 | 269 | 278 | -3.3% |
| Luma32 | 0 | 67 | 268 | 117 | +128.9% |
| Luma32 | 1 | 2 | 52 | 50 | +3.4% |
| Luma32 | 2 | 4 | 110 | 92 | +19.2% |
| Luma32 | 3-4 | 8 | 296 | 268 | +10.5% |
| Luma32 | 5-8 | 16 | 919 | 910 | +1.0% |
| Luma32 | 9-16 | 42 | 3742 | 3614 | +3.5% |
| Luma32 | 17+ | 46 | 7478 | 7434 | +0.6% |
| Luma32Inter | 0 | 39 | 156 | 127 | +22.7% |
| Luma32Inter | 1 | 165 | 2067 | 1014 | +103.9% |
| Luma32Inter | 2 | 101 | 2736 | 1965 | +39.3% |
| Luma32Inter | 3-4 | 74 | 3101 | 2455 | +26.3% |
| Luma32Inter | 5-8 | 38 | 2495 | 2136 | +16.8% |
| Luma32Inter | 9-16 | 6 | 528 | 498 | +6.0% |
| Luma4 | 0 | 2147 | 1501 | 862 | +74.1% |
| Luma4 | 1 | 155 | 1614 | 1427 | +13.1% |
| Luma4 | 2 | 110 | 1554 | 1417 | +9.7% |
| Luma4 | 3-4 | 159 | 3227 | 2987 | +8.0% |
| Luma4 | 5-8 | 180 | 5670 | 5432 | +4.4% |
| Luma4 | 9-16 | 209 | 9921 | 9555 | +3.8% |
| Luma8 | 0 | 2937 | 1042 | 550 | +89.4% |
| Luma8 | 1 | 88 | 1034 | 886 | +16.7% |
| Luma8 | 2 | 33 | 569 | 504 | +12.9% |
| Luma8 | 3-4 | 44 | 1033 | 972 | +6.3% |
| Luma8 | 5-8 | 54 | 1916 | 1788 | +7.2% |
| Luma8 | 9-16 | 44 | 2398 | 2356 | +1.8% |
| Luma8 | 17+ | 27 | 2842 | 2902 | -2.1% |
| Luma8Inter | 0 | 139 | 76 | 55 | +37.7% |
| Luma8Inter | 1 | 38 | 511 | 462 | +10.5% |
| Luma8Inter | 2 | 11 | 186 | 179 | +3.8% |
| Luma8Inter | 3-4 | 6 | 193 | 170 | +13.3% |
| Luma8Inter | 5-8 | 17 | 744 | 741 | +0.4% |
| Luma8Inter | 9-16 | 19 | 1119 | 1136 | -1.5% |
| Luma8Inter | 17+ | 21 | 1841 | 1883 | -2.3% |
| ALL | | 12867 | 102660 | 92932 | +10.5% |
test encode::tests::pricer_error_census_on_clips ... ok

test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 573 filtered out; finished in 1.95s

