# Band error: ours vs libvorbis, both via our decoder

## nik @ 96k (ours 84.0 vs ref 84.5 kbps)
band      NSR_ours NSR_ref  dNSR   E_ours  E_ref
100-200     -15.5   -21.8    6.3    -0.0    -0.1
200-300     -12.4   -19.6    7.2    -0.1    -0.1
300-400     -13.3   -22.8    9.5    -0.2    -0.1
400-510     -10.6   -20.2    9.6    -0.3    -0.1
510-630      -9.9   -19.5    9.5    -0.3    -0.1
630-770     -12.2   -23.3   11.0    -0.2    -0.0
770-920     -11.4   -21.3    9.8    -0.3    -0.1
920-1080    -12.6   -22.2    9.6    -0.1    -0.0
1080-1270     -8.3   -13.9    5.6    -0.5    -0.2
1270-1480     -9.5   -15.4    5.9    -0.4    -0.2
1480-1720     -8.9   -13.0    4.2    -0.5    -0.3
1720-2000     -8.1   -12.8    4.8    -0.7    -0.3
2000-2320     -6.5   -10.1    3.6    -0.9    -0.3
2320-2700     -8.6   -12.1    3.6    -0.5    -0.4
2700-3150     -8.6   -11.0    2.4    -0.6    -0.3
3150-3700     -9.5   -12.9    3.4    -0.4    -0.3
3700-4400     -7.9   -11.5    3.6    -0.6    -0.3
4400-5300     -7.0   -10.6    3.6    -0.4    -0.3
5300-6400     -3.8    -6.6    2.8    -1.1    -0.2
6400-7700     -4.9    -6.7    1.7    -1.0    -0.0
7700-9500     -5.7    -5.8    0.1    -0.6     0.2
9500-12000     -6.5    -6.2   -0.3    -0.4     0.0
12000-15500     -4.5    -4.5   -0.1    -1.2     0.5
15500-24000      0.1     2.0   -1.9   -19.0    -2.3
broadband corr: ours 0.9690 ref 0.9903

## nik @ 128k (ours 115.5 vs ref 115.8 kbps)
band      NSR_ours NSR_ref  dNSR   E_ours  E_ref
100-200     -19.5   -24.8    5.3    -0.0    -0.1
200-300     -15.9   -23.5    7.6    -0.1    -0.1
300-400     -16.8   -26.6    9.8    -0.1    -0.0
400-510     -13.6   -24.5   10.9    -0.1    -0.0
510-630     -12.7   -24.1   11.5    -0.1    -0.0
630-770     -15.4   -27.5   12.1    -0.1     0.0
770-920     -14.3   -25.9   11.6    -0.1    -0.0
920-1080    -15.5   -27.3   11.8    -0.0     0.0
1080-1270    -10.3   -19.2    8.9    -0.3    -0.1
1270-1480    -12.0   -20.3    8.3    -0.2    -0.1
1480-1720    -11.4   -17.4    6.0    -0.2    -0.1
1720-2000    -10.5   -16.0    5.5    -0.4    -0.2
2000-2320     -8.8   -12.9    4.2    -0.5    -0.2
2320-2700    -11.2   -15.1    3.9    -0.3    -0.2
2700-3150    -11.6   -14.0    2.4    -0.3    -0.2
3150-3700    -12.6   -15.6    3.0    -0.2    -0.2
3700-4400    -10.4   -14.1    3.7    -0.2    -0.2
4400-5300     -8.7   -13.8    5.1    -0.1    -0.2
5300-6400     -5.3    -9.8    4.5    -0.4    -0.3
6400-7700     -7.0    -9.9    3.0    -0.3    -0.4
7700-9500     -7.2    -7.5    0.3    -0.0    -0.3
9500-12000     -8.0    -8.1    0.0     0.1    -0.4
12000-15500     -6.4    -6.4    0.1    -0.4    -0.3
15500-24000      0.1     2.2   -2.2   -19.0    -1.8
broadband corr: ours 0.9838 ref 0.9951

## her @ 96k (ours 89.9 vs ref 89.9 kbps)
band      NSR_ours NSR_ref  dNSR   E_ours  E_ref
100-200     -13.9   -21.6    7.7    -0.0    -0.1
200-300     -11.4   -20.8    9.4    -0.2    -0.1
300-400     -10.5   -21.8   11.3    -0.4    -0.1
400-510      -8.5   -20.3   11.8    -0.6    -0.1
510-630      -7.6   -17.9   10.2    -0.7    -0.1
630-770      -9.5   -21.6   12.1    -0.5    -0.1
770-920      -6.5   -15.2    8.7    -1.0    -0.2
920-1080    -11.1   -20.8    9.7    -0.2    -0.1
1080-1270     -6.1   -12.6    6.5    -1.1    -0.4
1270-1480     -5.6   -10.3    4.7    -1.2    -0.4
1480-1720     -6.2    -9.9    3.7    -1.1    -0.4
1720-2000     -5.9    -9.4    3.5    -1.2    -0.5
2000-2320     -5.3    -7.7    2.4    -1.3    -0.5
2320-2700     -5.9    -8.5    2.5    -1.2    -0.5
2700-3150     -5.8    -9.1    3.4    -1.2    -0.5
3150-3700     -4.7    -7.8    3.1    -1.7    -0.5
3700-4400     -3.6    -7.5    4.0    -1.6    -0.5
4400-5300     -2.8    -6.7    3.9    -1.8    -0.5
5300-6400     -3.1    -4.2    1.1    -1.3    -0.2
6400-7700     -3.7    -3.1   -0.7    -0.9    -0.1
7700-9500     -3.1    -1.3   -1.8    -1.2     0.6
9500-12000     -3.0    -1.3   -1.7    -1.6     0.7
12000-15500     -3.0    -1.6   -1.4    -1.6     0.7
15500-24000     -2.3    -0.9   -1.4    -2.4    -3.0
broadband corr: ours 0.9668 ref 0.9867

## her @ 128k (ours 123.5 vs ref 124.9 kbps)
band      NSR_ours NSR_ref  dNSR   E_ours  E_ref
100-200     -17.5   -25.0    7.4    -0.0    -0.1
200-300     -14.7   -24.7   10.0    -0.1    -0.0
300-400     -13.5   -25.6   12.1    -0.2    -0.0
400-510     -11.6   -24.3   12.7    -0.2    -0.1
510-630     -10.2   -22.5   12.2    -0.3    -0.1
630-770     -12.4   -25.4   13.0    -0.2    -0.0
770-920      -8.8   -19.8   11.0    -0.5    -0.1
920-1080    -13.9   -24.6   10.8    -0.1    -0.0
1080-1270     -8.5   -16.3    7.8    -0.6    -0.3
1270-1480     -7.7   -14.1    6.4    -0.7    -0.3
1480-1720     -8.5   -13.9    5.4    -0.6    -0.3
1720-2000     -8.1   -13.2    5.1    -0.6    -0.3
2000-2320     -7.5   -11.0    3.5    -0.7    -0.4
2320-2700     -8.3   -11.6    3.3    -0.6    -0.4
2700-3150     -8.2   -12.0    3.8    -0.6    -0.4
3150-3700     -6.8   -10.3    3.4    -0.9    -0.4
3700-4400     -4.9   -10.1    5.2    -0.9    -0.4
4400-5300     -3.8    -9.8    5.9    -0.9    -0.4
5300-6400     -3.5   -10.1    6.6    -0.5    -0.4
6400-7700     -4.0   -10.9    6.9    -0.2    -0.5
7700-9500     -3.4    -2.7   -0.6    -0.3    -0.1
9500-12000     -3.6    -2.1   -1.5    -0.6    -0.0
12000-15500     -3.9    -2.8   -1.2    -0.8    -0.1
15500-24000     -3.4    -6.3    2.8    -1.5    -0.4
broadband corr: ours 0.9810 ref 0.9927

## naz @ 96k (ours 85.4 vs ref 85.5 kbps)
band      NSR_ours NSR_ref  dNSR   E_ours  E_ref
100-200     -15.4   -20.2    4.7    -0.1    -0.1
200-300     -14.2   -20.5    6.3    -0.1    -0.1
300-400     -14.7   -22.9    8.2    -0.1    -0.1
400-510     -14.0   -22.5    8.4    -0.1    -0.0
510-630     -11.0   -20.1    9.1    -0.3    -0.1
630-770      -9.5   -18.2    8.7    -0.4    -0.1
770-920     -14.2   -22.8    8.7    -0.1    -0.0
920-1080    -11.7   -19.0    7.3    -0.2    -0.1
1080-1270     -8.6   -13.3    4.7    -0.5    -0.2
1270-1480    -11.6   -15.6    4.0    -0.2    -0.2
1480-1720    -10.6   -13.1    2.5    -0.2    -0.2
1720-2000    -12.8   -15.4    2.6    -0.2    -0.2
