# Band error: ours vs libvorbis, both via our decoder

## nik @ 96k (ours 83.8 vs ref 84.5 kbps)
band      NSR_ours NSR_ref  dNSR   E_ours  E_ref
100-200     -12.8   -21.8    9.0    -0.2    -0.1
200-300      -9.4   -19.6   10.2    -0.4    -0.1
300-400     -12.1   -22.8   10.7    -0.2    -0.1
400-510      -9.9   -20.2   10.3    -0.3    -0.1
510-630      -9.9   -19.5    9.5    -0.3    -0.1
630-770     -11.6   -23.3   11.7    -0.2    -0.0
770-920     -10.9   -21.3   10.3    -0.3    -0.1
920-1080    -13.1   -22.2    9.1    -0.1    -0.0
1080-1270     -8.2   -13.9    5.7    -0.5    -0.2
1270-1480     -9.8   -15.4    5.6    -0.4    -0.2
1480-1720     -9.9   -13.0    3.1    -0.3    -0.3
1720-2000     -8.9   -12.8    4.0    -0.5    -0.3
2000-2320     -7.1   -10.1    3.1    -0.8    -0.3
2320-2700     -8.5   -12.1    3.6    -0.6    -0.4
2700-3150     -7.9   -11.0    3.2    -0.7    -0.3
3150-3700     -9.0   -12.9    3.9    -0.5    -0.3
3700-4400     -7.9   -11.5    3.6    -0.6    -0.3
4400-5300     -6.8   -10.6    3.7    -0.5    -0.3
5300-6400     -4.0    -6.6    2.6    -1.0    -0.2
6400-7700     -5.6    -6.7    1.1    -0.7    -0.0
7700-9500     -5.8    -5.8    0.0    -0.6     0.2
9500-12000     -5.8    -6.2    0.4    -0.6     0.0
12000-15500     -4.2    -4.5    0.3    -1.3     0.5
15500-24000      0.1     2.0   -1.9   -19.0    -2.3
broadband corr: ours 0.9617 ref 0.9903

## nik @ 128k (ours 115.3 vs ref 115.8 kbps)
band      NSR_ours NSR_ref  dNSR   E_ours  E_ref
100-200     -16.7   -24.8    8.1    -0.1    -0.1
200-300     -12.6   -23.5   10.9    -0.1    -0.1
300-400     -15.6   -26.6   11.0    -0.1    -0.0
400-510     -13.0   -24.5   11.5    -0.1    -0.0
510-630     -12.8   -24.1   11.4    -0.2    -0.0
630-770     -14.7   -27.5   12.8    -0.1     0.0
770-920     -13.7   -25.9   12.2    -0.1    -0.0
920-1080    -16.1   -27.3   11.2    -0.0     0.0
1080-1270    -10.3   -19.2    8.9    -0.2    -0.1
1270-1480    -12.5   -20.3    7.8    -0.2    -0.1
1480-1720    -12.4   -17.4    4.9    -0.2    -0.1
1720-2000    -11.6   -16.0    4.4    -0.3    -0.2
2000-2320     -9.5   -12.9    3.4    -0.4    -0.2
2320-2700    -11.4   -15.1    3.7    -0.3    -0.2
2700-3150    -10.7   -14.0    3.3    -0.3    -0.2
3150-3700    -11.9   -15.6    3.7    -0.2    -0.2
3700-4400    -10.5   -14.1    3.6    -0.2    -0.2
4400-5300     -8.6   -13.8    5.3    -0.1    -0.2
5300-6400     -5.5    -9.8    4.3    -0.3    -0.3
6400-7700     -7.6    -9.9    2.4    -0.1    -0.4
7700-9500     -7.4    -7.5    0.1    -0.0    -0.3
9500-12000     -7.5    -8.1    0.6    -0.1    -0.4
12000-15500     -5.9    -6.4    0.6    -0.6    -0.3
15500-24000      0.1     2.2   -2.2   -19.0    -1.8
broadband corr: ours 0.9806 ref 0.9951

## her @ 96k (ours 90.5 vs ref 89.9 kbps)
band      NSR_ours NSR_ref  dNSR   E_ours  E_ref
100-200     -10.8   -21.6   10.9    -0.2    -0.1
200-300      -8.6   -20.8   12.2    -0.5    -0.1
300-400      -9.4   -21.8   12.3    -0.5    -0.1
400-510      -8.0   -20.3   12.3    -0.6    -0.1
510-630      -7.5   -17.9   10.4    -0.7    -0.1
630-770      -9.3   -21.6   12.4    -0.5    -0.1
770-920      -6.5   -15.2    8.7    -0.9    -0.2
920-1080    -11.1   -20.8    9.7    -0.2    -0.1
1080-1270     -5.9   -12.6    6.6    -1.2    -0.4
1270-1480     -6.0   -10.3    4.3    -1.1    -0.4
1480-1720     -7.1    -9.9    2.7    -0.8    -0.4
1720-2000     -6.8    -9.4    2.5    -0.9    -0.5
2000-2320     -5.9    -7.7    1.8    -1.1    -0.5
2320-2700     -6.6    -8.5    1.9    -1.0    -0.5
2700-3150     -6.2    -9.1    3.0    -1.1    -0.5
3150-3700     -4.6    -7.8    3.1    -1.7    -0.5
3700-4400     -3.9    -7.5    3.7    -1.5    -0.5
4400-5300     -3.3    -6.7    3.4    -1.5    -0.5
5300-6400     -3.2    -4.2    1.0    -1.3    -0.2
6400-7700     -3.6    -3.1   -0.5    -1.0    -0.1
7700-9500     -3.0    -1.3   -1.7    -1.4     0.6
9500-12000     -2.8    -1.3   -1.6    -1.8     0.7
12000-15500     -3.0    -1.6   -1.4    -1.6     0.7
15500-24000     -2.1    -0.9   -1.2    -2.6    -3.0
broadband corr: ours 0.9531 ref 0.9867

## her @ 128k (ours 127.2 vs ref 124.9 kbps)
band      NSR_ours NSR_ref  dNSR   E_ours  E_ref
100-200     -14.1   -25.0   10.9    -0.1    -0.1
200-300     -11.7   -24.7   13.0    -0.2    -0.0
300-400     -12.5   -25.6   13.2    -0.2    -0.0
400-510     -10.9   -24.3   13.3    -0.3    -0.1
510-630     -10.1   -22.5   12.4    -0.3    -0.1
630-770     -12.1   -25.4   13.3    -0.2    -0.0
770-920      -8.6   -19.8   11.1    -0.5    -0.1
920-1080    -13.9   -24.6   10.7    -0.1    -0.0
1080-1270     -8.4   -16.3    8.0    -0.6    -0.3
1270-1480     -8.3   -14.1    5.8    -0.6    -0.3
1480-1720     -9.8   -13.9    4.1    -0.4    -0.3
1720-2000     -9.4   -13.2    3.8    -0.5    -0.3
2000-2320     -8.3   -11.0    2.7    -0.6    -0.4
2320-2700     -9.2   -11.6    2.4    -0.5    -0.4
2700-3150     -8.9   -12.0    3.2    -0.5    -0.4
3150-3700     -7.0   -10.3    3.3    -0.9    -0.4
3700-4400     -5.2   -10.1    4.9    -0.7    -0.4
4400-5300     -4.2    -9.8    5.6    -0.7    -0.4
5300-6400     -3.6   -10.1    6.5    -0.5    -0.4
6400-7700     -4.0   -10.9    6.9    -0.3    -0.5
7700-9500     -3.4    -2.7   -0.7    -0.5    -0.1
9500-12000     -3.6    -2.1   -1.5    -0.7    -0.0
12000-15500     -4.0    -2.8   -1.2    -0.8    -0.1
15500-24000     -3.3    -6.3    3.0    -1.7    -0.4
broadband corr: ours 0.9743 ref 0.9927

## naz @ 96k (ours 85.1 vs ref 85.5 kbps)
band      NSR_ours NSR_ref  dNSR   E_ours  E_ref
100-200     -12.6   -20.2    7.6    -0.1    -0.1
200-300     -11.1   -20.5    9.4    -0.3    -0.1
300-400     -13.2   -22.9    9.7    -0.2    -0.1
400-510     -12.3   -22.5   10.1    -0.2    -0.0
510-630     -10.2   -20.1    9.9    -0.3    -0.1
630-770      -9.2   -18.2    9.0    -0.4    -0.1
770-920     -14.2   -22.8    8.6    -0.1    -0.0
920-1080    -12.8   -19.0    6.2    -0.1    -0.1
1080-1270     -9.4   -13.3    3.8    -0.3    -0.2
1270-1480    -12.2   -15.6    3.4    -0.2    -0.2
1480-1720    -10.8   -13.1    2.3    -0.2    -0.2
1720-2000    -13.8   -15.4    1.6    -0.1    -0.2
2000-2320     -8.8    -9.6    0.8    -0.5    -0.4
2320-2700     -8.6   -10.1    1.5    -0.5    -0.4
2700-3150    -10.0   -11.5    1.4    -0.4    -0.3
3150-3700     -8.7   -10.2    1.5    -0.5    -0.3
3700-4400     -8.5   -10.3    1.8    -0.2    -0.3
4400-5300     -8.2   -10.5    2.3     0.1    -0.3
5300-6400     -5.6    -7.0    1.4    -0.6    -0.3
6400-7700     -5.1    -4.7   -0.3    -0.8     0.1
7700-9500     -7.8    -5.8   -2.0    -0.3     0.3
9500-12000     -6.2    -5.7   -0.4    -0.7     0.0
12000-15500     -1.6    -1.5   -0.1    -2.6     0.8
15500-24000     -1.2    -5.9    4.6    -3.0    -0.1
broadband corr: ours 0.9717 ref 0.9923

## naz @ 128k (ours 121.1 vs ref 120.9 kbps)
band      NSR_ours NSR_ref  dNSR   E_ours  E_ref
100-200     -17.5   -23.6    6.1    -0.0    -0.1
200-300     -15.7   -24.5    8.8    -0.1    -0.1
300-400     -17.7   -27.3    9.6    -0.1    -0.0
400-510     -16.4   -27.2   10.8    -0.1    -0.0
510-630     -14.0   -25.1   11.0    -0.1    -0.0
630-770     -12.8   -23.3   10.6    -0.1    -0.0
770-920     -18.1   -28.0    9.9    -0.0     0.0
920-1080    -16.4   -24.6    8.1    -0.1    -0.0
1080-1270    -12.3   -18.8    6.5    -0.2    -0.1
1270-1480    -15.4   -21.1    5.7    -0.1    -0.1
1480-1720    -13.8   -18.7    4.9    -0.1    -0.1
1720-2000    -17.3   -20.3    3.1    -0.1    -0.1
2000-2320    -12.2   -14.0    1.8    -0.2    -0.2
2320-2700    -12.1   -14.4    2.3    -0.2    -0.2
2700-3150    -13.2   -15.5    2.3    -0.2    -0.1
3150-3700    -11.8   -14.6    2.8    -0.2    -0.2
3700-4400    -10.9   -14.6    3.7     0.0    -0.2
4400-5300    -10.1   -14.5    4.3     0.2    -0.2
5300-6400     -7.3   -11.0    3.6    -0.1    -0.3
6400-7700     -6.8    -9.3    2.5    -0.2    -0.4
7700-9500     -9.7    -7.5   -2.3     0.1    -0.3
9500-12000     -8.1    -7.2   -1.0    -0.2    -0.3
12000-15500     -2.5    -2.8    0.3    -1.8    -0.1
15500-24000     -2.2    -9.3    7.1    -2.9    -0.2
broadband corr: ours 0.9889 ref 0.9968

## dl8a @ 96k (ours 86.4 vs ref 86.9 kbps)
band      NSR_ours NSR_ref  dNSR   E_ours  E_ref
100-200     -10.0   -21.2   11.2    -0.2    -0.1
200-300     -10.4   -22.7   12.3    -0.4    -0.1
300-400      -8.8   -20.8   12.0    -0.5    -0.1
400-510      -9.6   -21.1   11.6    -0.4    -0.1
510-630     -11.9   -23.8   11.9    -0.2    -0.0
630-770     -12.0   -24.1   12.1    -0.2    -0.0
770-920     -10.5   -21.1   10.6    -0.2    -0.1
920-1080     -8.2   -15.7    7.6    -0.5    -0.2
1080-1270    -10.3   -15.3    5.0    -0.4    -0.2
1270-1480    -10.4   -14.6    4.2    -0.3    -0.3
1480-1720     -8.9   -12.1    3.2    -0.5    -0.3
1720-2000     -8.3   -11.5    3.2    -0.6    -0.3
2000-2320     -7.0    -9.7    2.7    -0.8    -0.3
2320-2700     -7.2    -9.8    2.6    -0.8    -0.4
2700-3150     -6.6    -9.8    3.2    -1.0    -0.4
3150-3700     -6.7    -9.7    3.0    -1.0    -0.4
3700-4400     -6.4    -9.1    2.8    -0.7    -0.4
4400-5300     -6.7    -9.5    2.8    -0.2    -0.4
5300-6400     -5.6    -7.8    2.1    -0.6    -0.2
6400-7700     -5.5    -7.1    1.6    -0.7     0.0
7700-9500     -5.7    -6.6    0.9    -0.8     0.2
9500-12000     -5.7    -7.3    1.6    -0.9     0.0
12000-15500     -4.1    -5.6    1.4    -1.3     0.4
15500-24000     -3.0    -1.9   -1.1    -2.4    -3.3
broadband corr: ours 0.9579 ref 0.9916

## dl8a @ 128k (ours 118.1 vs ref 117.8 kbps)
band      NSR_ours NSR_ref  dNSR   E_ours  E_ref
100-200     -13.2   -24.7   11.6    -0.1    -0.1
200-300     -13.7   -26.2   12.6    -0.2    -0.0
300-400     -11.9   -24.9   13.0    -0.2    -0.0
400-510     -12.4   -25.7   13.4    -0.2    -0.0
510-630     -14.8   -28.5   13.7    -0.0     0.0
630-770     -14.9   -28.7   13.9    -0.1     0.0
770-920     -13.1   -25.7   12.6    -0.1    -0.0
920-1080    -10.7   -20.0    9.3    -0.3    -0.1
1080-1270    -13.0   -19.6    6.6    -0.2    -0.1
1270-1480    -13.2   -18.9    5.8    -0.1    -0.2
1480-1720    -11.3   -15.8    4.5    -0.2    -0.2
1720-2000    -10.8   -14.6    3.7    -0.3    -0.2
2000-2320     -9.8   -12.3    2.5    -0.4    -0.3
2320-2700    -10.0   -12.5    2.5    -0.4    -0.3
2700-3150     -9.4   -12.1    2.7    -0.5    -0.4
3150-3700     -9.5   -11.8    2.3    -0.4    -0.3
3700-4400     -8.9   -11.2    2.4    -0.2    -0.3
4400-5300     -8.9   -11.7    2.8     0.2    -0.4
5300-6400     -8.0   -10.0    2.0    -0.0    -0.3
6400-7700     -8.0    -9.2    1.2    -0.1    -0.4
7700-9500     -8.3    -7.8   -0.5    -0.2    -0.3
9500-12000     -8.3    -8.5    0.2    -0.2    -0.4
12000-15500     -6.0    -6.6    0.7    -0.6    -0.3
15500-24000     -4.4    -9.9    5.5    -1.6    -0.4
broadband corr: ours 0.9788 ref 0.9957

