source  kbps   ours_kbps ref_kbps rate%   corr_ours corr_ref gap     verdict
nik     96     83.5      84.5      -1.20 0.9863    0.9903   0.0040  PASS
nik     128    115.0     115.8     -0.64 0.9927    0.9951   0.0024  PASS
zaur    96     80.7      81.8      -1.29 0.9899    0.9922   0.0023  PASS
zaur    128    108.1     108.6     -0.47 0.9947    0.9955   0.0009  PASS
her     96     88.1      89.9      -1.96 0.9879    0.9867   -0.0012 PASS
her     128    121.8     124.9     -2.49 0.9917    0.9927   0.0011  PASS
naz     96     84.6      85.5      -1.08 0.9932    0.9923   -0.0009 PASS
naz     128    120.6     120.9     -0.18 0.9969    0.9968   -0.0001 PASS
sadie   96     84.9      79.3      +7.07 0.9772    0.9865   0.0093  FAIL
sadie   128    93.1      91.0      +2.31 0.9846    0.9906   0.0060  FAIL
dl8a    96     86.1      86.9      -0.96 0.9878    0.9916   0.0038  PASS
dl8a    128    117.6     117.8     -0.12 0.9938    0.9957   0.0019  PASS
hein    96     82.4      79.1      +4.26 0.9784    0.9869   0.0086  FAIL
hein    128    91.1      90.7      +0.51 0.9856    0.9906   0.0050  PASS
test result: FAILED. 0 passed; 1 failed; 0 ignored; 0 measured; 10 filtered out; finished in 51.90s
